title,lieu_travail,contract_type_std,min_salary,max_salary,salary_currency,salary_period,min_experience,max_experience,experience_level,company_name,url_source,publication_date,source,processing_date
Plead Stage Conseil Strategique En Communication Digitale F H,Paris,STAGE,,,,HOURLY,,,NOT_SPECIFIED,HAVAS FRANCE,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/plead-stage-conseil-strategique-en-communication-digitale-f-h_paris,2025-06-13,welcome_jungle,2025-06-14
Stage Chef Cheffe De Projet Marketing Communication Services Financiers,Paris,STAGE,900.0,,EUR,MONTHLY,,,NOT_SPECIFIED,SOPRA STERIA,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/stage-chef-cheffe-de-projet-marketing-communication-services-financiers_paris_SS_aQPPK6V,2025-06-12,welcome_jungle,2025-06-14
Charge De Communication F H,Marseille,OTHER,,,,HOURLY,,,NOT_SPECIFIED,ORANGE,https://www.welcometothejungle.com/fr/companies/orange-1/jobs/charge-de-communication-f-h_marseille,2025-06-13,welcome_jungle,2025-06-14
Chef Fe De Projets Marketing Communication,Non spécifié,CDD,50000.0,,EUR,YEARLY,,,NOT_SPECIFIED,STEEPLE,https://www.welcometothejungle.com/fr/companies/steeple/jobs/chef-fe-de-projets-marketing-communication_saint-jacques-de-la-lande,2025-06-12,welcome_jungle,2025-06-14
Chef De La Cellule Communication Statut Civil,Paris,OTHER,950.0,,EUR,MONTHLY,,,NOT_SPECIFIED,COMMANDEMENT DE LA CYBERDÉFENSE (COMCYBER),https://www.welcometothejungle.com/fr/companies/commandement-de-la-cyberdefense-comcyber/jobs/chef-de-la-cellule-communication-statut-civil_paris,2025-06-13,welcome_jungle,2025-06-14
Alternant Charge De Communication Coo F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,BNP PARIBAS,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/alternant-charge-de-communication-coo-f-h_rueil-malmaison,2025-06-13,welcome_jungle,2025-06-14
Alternance Webmaster Communication Digitale Externe Groupe F H,Non spécifié,ALTERNANCE,1500.0,,EUR,MONTHLY,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-webmaster-communication-digitale-externe-groupe-f-h_meudon_THALE_39DxKM2,2025-06-14,welcome_jungle,2025-06-14
Alternance Specialiste Communication F H,Non spécifié,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,IKEA FRANCE,https://www.welcometothejungle.com/fr/companies/ikea-france/jobs/alternance-specialiste-communication-f-h_fos-sur-mer_IF_5zrPy42,2025-06-13,welcome_jungle,2025-06-14
Alternance Charge De Communication Interne F H,Paris,STAGE,20000.0,,EUR,YEARLY,,,NOT_SPECIFIED,ORANGE,https://www.welcometothejungle.com/fr/companies/orange-1/jobs/alternance-charge-de-communication-interne-f-h_paris,2025-06-13,welcome_jungle,2025-06-14
Charge De Communication F H Alternance,Nanterre,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,AXA,https://www.welcometothejungle.com/fr/companies/axa/jobs/charge-de-communication-f-h-alternance_nanterre-cedex,2025-06-13,welcome_jungle,2025-06-14
Alternance Chargee Ou Charge De Communication Interne F H,Non spécifié,STAGE,26000.0,,EUR,YEARLY,,,NOT_SPECIFIED,EDF,https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-chargee-ou-charge-de-communication-interne-f-h_colombes_EDF_YX74bYd,2025-06-12,welcome_jungle,2025-06-14
Alternant Business Development Marketing Communication A Bordeaux F H,Bordeaux,ALTERNANCE,,,,,,,NOT_SPECIFIED,DELOITTE,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/alternant-business-development-marketing-communication-a-bordeaux-f-h_bordeaux,2025-06-12,welcome_jungle,2025-06-14
Havas Media Stage Assistant Charge De Communication F H,Non spécifié,STAGE,,,,HOURLY,,,NOT_SPECIFIED,HAVAS FRANCE,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-media-stage-assistant-charge-de-communication-f-h_puteaux,2025-06-13,welcome_jungle,2025-06-14
Charge De Communication De Recrutement Et Des Relations Ecoles H F,Paris,OTHER,937.0,,EUR,MONTHLY,,,NOT_SPECIFIED,COMMISSAIRES DES ARMÉES,https://www.welcometothejungle.com/fr/companies/commissaires-des-armees/jobs/charge-de-communication-de-recrutement-et-des-relations-ecoles-h-f_paris_CDA_Nd5qqqP,2025-06-13,welcome_jungle,2025-06-14
Assistant Communication Social Media Apprentissage F H,Paris,ALTERNANCE,,,,,,,NOT_SPECIFIED,DELOITTE,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/assistant-communication-social-media-apprentissage-f-h_paris-la-defense,2025-06-13,welcome_jungle,2025-06-14
Alternance Change Management Communication Operationnelle H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-change-management-communication-operationnelle-h-f_velizy-villacoublay_THALE_Lxr1JN6,2025-06-13,welcome_jungle,2025-06-14
Charge De Communication Interne H F En Alternance,Paris,STAGE,,,,,,,NOT_SPECIFIED,SYNDEX,https://www.welcometothejungle.com/fr/companies/syndex/jobs/charge-de-communication-interne-h-f-en-alternance_paris_SYNDE_wYoRzbZ,2025-06-12,welcome_jungle,2025-06-14
Charge De Communication Editorial En Alternance F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,DOCAPOSTE,https://www.welcometothejungle.com/fr/companies/docaposte-1/jobs/charge-de-communication-editorial-en-alternance-f-h_ivry-sur-seine,2025-06-13,welcome_jungle,2025-06-14
Cdi Chef De Projets Communication Maroquinerie H F,Non spécifié,CDI,,,,HOURLY,,,NOT_SPECIFIED,HERMÈS,https://www.welcometothejungle.com/fr/companies/hermes/jobs/cdi-chef-de-projets-communication-maroquinerie-h-f_pantin,2025-06-13,welcome_jungle,2025-06-14
Alternance Communication Digitale H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-communication-digitale-h-f_velizy-villacoublay,2025-06-12,welcome_jungle,2025-06-14
Ingenieur Ivvq Systeme Des Solutions De Communications F H,Non spécifié,OTHER,90000.0,,EUR,YEARLY,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/ingenieur-ivvq-systeme-des-solutions-de-communications-f-h_gennevilliers,2025-06-14,welcome_jungle,2025-06-14
Alternance Recherche Innovation Communication Scientifique Septembre 2025 H F X,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,L'ORÉAL GROUPE,https://www.welcometothejungle.com/fr/companies/l-oreal/jobs/alternance-recherche-innovation-communication-scientifique-septembre-2025-h-f-x_clichy,2025-06-12,welcome_jungle,2025-06-14
Stage Marketing Communication H F,Aix En Provence,STAGE,30.0,,EUR,HOURLY,,,NOT_SPECIFIED,ADVINI,https://www.welcometothejungle.com/fr/companies/advini/jobs/stage-marketing-communication-h-f_puyloubier_ADVIN_JD93m0Q,2025-06-12,welcome_jungle,2025-06-14
Alternance Charge De Communication F H,Non spécifié,ALTERNANCE,100.0,,,DAILY,,,NOT_SPECIFIED,LA POSTE - BRANCHE SERVICES-COURRIER-COLIS,https://www.welcometothejungle.com/fr/companies/la-poste-service-courrier-colis/jobs/alternance-charge-de-communication-f-h_douvrin,2025-06-12,welcome_jungle,2025-06-14
Havas Play Stage Charge De Communication Junior H F X,Non spécifié,STAGE,,,,HOURLY,0.0,2.0,JUNIOR,HAVAS FRANCE,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-play-stage-charge-de-communication-junior-h-f-x_puteaux,2025-06-13,welcome_jungle,2025-06-14
Alternance Charge De Communication Conduite Du Changement Pour L Architecture D Entreprise H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-charge-de-communication-conduite-du-changement-pour-l-architecture-d-entreprise-h-f_velizy-villacoublay,2025-06-14,welcome_jungle,2025-06-14
Charge De Communication Video H F,Non spécifié,OTHER,,,,HOURLY,,,NOT_SPECIFIED,SPVIE ASSURANCES,https://www.welcometothejungle.com/fr/companies/spvie-assurances/jobs/charge-de-communication-video-h-f_suresnes_SA_pk1x8YK,2025-06-13,welcome_jungle,2025-06-14
Alternance Marketing Communication F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-marketing-communication-f-h_la-ciotat,2025-06-12,welcome_jungle,2025-06-14
Charge De Communication Interne Assurance F H Alternance,Nanterre,STAGE,,,,HOURLY,,,NOT_SPECIFIED,AXA,https://www.welcometothejungle.com/fr/companies/axa/jobs/charge-de-communication-interne-assurance-f-h-alternance_nanterre,2025-06-13,welcome_jungle,2025-06-14
Charge De Projet Communication Et Evenementiel F H Stage,Nanterre,STAGE,,,,HOURLY,,,NOT_SPECIFIED,AXA,https://www.welcometothejungle.com/fr/companies/axa/jobs/charge-de-projet-communication-et-evenementiel-f-h-stage_nanterre,2025-06-13,welcome_jungle,2025-06-14
Plead Stage Conseil Strategique En Communication Digitale F H,Paris,STAGE,,,,HOURLY,,,NOT_SPECIFIED,HAVAS FRANCE,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/plead-stage-conseil-strategique-en-communication-digitale-f-h_paris,2025-06-13,welcome_jungle,2025-06-14
Stage Chef Cheffe De Projet Marketing Communication Services Financiers,Paris,STAGE,900.0,,EUR,MONTHLY,,,NOT_SPECIFIED,SOPRA STERIA,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/stage-chef-cheffe-de-projet-marketing-communication-services-financiers_paris_SS_aQPPK6V,2025-06-12,welcome_jungle,2025-06-14
Charge De Communication F H,Marseille,OTHER,,,,HOURLY,,,NOT_SPECIFIED,ORANGE,https://www.welcometothejungle.com/fr/companies/orange-1/jobs/charge-de-communication-f-h_marseille,2025-06-13,welcome_jungle,2025-06-14
Chef Fe De Projets Marketing Communication,Non spécifié,CDD,50000.0,,EUR,YEARLY,,,NOT_SPECIFIED,STEEPLE,https://www.welcometothejungle.com/fr/companies/steeple/jobs/chef-fe-de-projets-marketing-communication_saint-jacques-de-la-lande,2025-06-12,welcome_jungle,2025-06-14
Chef De La Cellule Communication Statut Civil,Paris,OTHER,950.0,,EUR,MONTHLY,,,NOT_SPECIFIED,COMMANDEMENT DE LA CYBERDÉFENSE (COMCYBER),https://www.welcometothejungle.com/fr/companies/commandement-de-la-cyberdefense-comcyber/jobs/chef-de-la-cellule-communication-statut-civil_paris,2025-06-13,welcome_jungle,2025-06-14
Alternant Charge De Communication Coo F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,BNP PARIBAS,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/alternant-charge-de-communication-coo-f-h_rueil-malmaison,2025-06-13,welcome_jungle,2025-06-14
Alternance Webmaster Communication Digitale Externe Groupe F H,Non spécifié,ALTERNANCE,1500.0,,EUR,MONTHLY,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-webmaster-communication-digitale-externe-groupe-f-h_meudon_THALE_39DxKM2,2025-06-14,welcome_jungle,2025-06-14
Alternance Specialiste Communication F H,Non spécifié,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,IKEA FRANCE,https://www.welcometothejungle.com/fr/companies/ikea-france/jobs/alternance-specialiste-communication-f-h_fos-sur-mer_IF_5zrPy42,2025-06-13,welcome_jungle,2025-06-14
Alternance Charge De Communication Interne F H,Paris,STAGE,20000.0,,EUR,YEARLY,,,NOT_SPECIFIED,ORANGE,https://www.welcometothejungle.com/fr/companies/orange-1/jobs/alternance-charge-de-communication-interne-f-h_paris,2025-06-13,welcome_jungle,2025-06-14
Charge De Communication F H Alternance,Nanterre,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,AXA,https://www.welcometothejungle.com/fr/companies/axa/jobs/charge-de-communication-f-h-alternance_nanterre-cedex,2025-06-13,welcome_jungle,2025-06-14
Alternance Chargee Ou Charge De Communication Interne F H,Non spécifié,STAGE,26000.0,,EUR,YEARLY,,,NOT_SPECIFIED,EDF,https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-chargee-ou-charge-de-communication-interne-f-h_colombes_EDF_YX74bYd,2025-06-12,welcome_jungle,2025-06-14
Alternant Business Development Marketing Communication A Bordeaux F H,Bordeaux,ALTERNANCE,,,,,,,NOT_SPECIFIED,DELOITTE,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/alternant-business-development-marketing-communication-a-bordeaux-f-h_bordeaux,2025-06-12,welcome_jungle,2025-06-14
Havas Media Stage Assistant Charge De Communication F H,Non spécifié,STAGE,,,,HOURLY,,,NOT_SPECIFIED,HAVAS FRANCE,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-media-stage-assistant-charge-de-communication-f-h_puteaux,2025-06-13,welcome_jungle,2025-06-14
Charge De Communication De Recrutement Et Des Relations Ecoles H F,Paris,OTHER,937.0,,EUR,MONTHLY,,,NOT_SPECIFIED,COMMISSAIRES DES ARMÉES,https://www.welcometothejungle.com/fr/companies/commissaires-des-armees/jobs/charge-de-communication-de-recrutement-et-des-relations-ecoles-h-f_paris_CDA_Nd5qqqP,2025-06-13,welcome_jungle,2025-06-14
Assistant Communication Social Media Apprentissage F H,Paris,ALTERNANCE,,,,,,,NOT_SPECIFIED,DELOITTE,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/assistant-communication-social-media-apprentissage-f-h_paris-la-defense,2025-06-13,welcome_jungle,2025-06-14
Alternance Change Management Communication Operationnelle H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-change-management-communication-operationnelle-h-f_velizy-villacoublay_THALE_Lxr1JN6,2025-06-13,welcome_jungle,2025-06-14
Charge De Communication Interne H F En Alternance,Paris,STAGE,,,,,,,NOT_SPECIFIED,SYNDEX,https://www.welcometothejungle.com/fr/companies/syndex/jobs/charge-de-communication-interne-h-f-en-alternance_paris_SYNDE_wYoRzbZ,2025-06-12,welcome_jungle,2025-06-14
Charge De Communication Editorial En Alternance F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,DOCAPOSTE,https://www.welcometothejungle.com/fr/companies/docaposte-1/jobs/charge-de-communication-editorial-en-alternance-f-h_ivry-sur-seine,2025-06-13,welcome_jungle,2025-06-14
Cdi Chef De Projets Communication Maroquinerie H F,Non spécifié,CDI,,,,HOURLY,,,NOT_SPECIFIED,HERMÈS,https://www.welcometothejungle.com/fr/companies/hermes/jobs/cdi-chef-de-projets-communication-maroquinerie-h-f_pantin,2025-06-13,welcome_jungle,2025-06-14
Alternance Communication Digitale H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-communication-digitale-h-f_velizy-villacoublay,2025-06-12,welcome_jungle,2025-06-14
Ingenieur Ivvq Systeme Des Solutions De Communications F H,Non spécifié,OTHER,90000.0,,EUR,YEARLY,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/ingenieur-ivvq-systeme-des-solutions-de-communications-f-h_gennevilliers,2025-06-14,welcome_jungle,2025-06-14
Alternance Recherche Innovation Communication Scientifique Septembre 2025 H F X,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,L'ORÉAL GROUPE,https://www.welcometothejungle.com/fr/companies/l-oreal/jobs/alternance-recherche-innovation-communication-scientifique-septembre-2025-h-f-x_clichy,2025-06-12,welcome_jungle,2025-06-14
Stage Marketing Communication H F,Aix En Provence,STAGE,30.0,,EUR,HOURLY,,,NOT_SPECIFIED,ADVINI,https://www.welcometothejungle.com/fr/companies/advini/jobs/stage-marketing-communication-h-f_puyloubier_ADVIN_JD93m0Q,2025-06-12,welcome_jungle,2025-06-14
Alternance Charge De Communication F H,Non spécifié,ALTERNANCE,100.0,,,DAILY,,,NOT_SPECIFIED,LA POSTE - BRANCHE SERVICES-COURRIER-COLIS,https://www.welcometothejungle.com/fr/companies/la-poste-service-courrier-colis/jobs/alternance-charge-de-communication-f-h_douvrin,2025-06-12,welcome_jungle,2025-06-14
Havas Play Stage Charge De Communication Junior H F X,Non spécifié,STAGE,,,,HOURLY,0.0,2.0,JUNIOR,HAVAS FRANCE,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-play-stage-charge-de-communication-junior-h-f-x_puteaux,2025-06-13,welcome_jungle,2025-06-14
